  FECHA     PRECIP  EVAP   TMAX   TMIN
02/07/1962  0      7.9    35     20 
03/07/1962  0      10.9   43     23 
04/07/1962  0      8.6    42     22.5 
05/07/1962  0      9.4    41     23 
06/07/1962  0      5      44     24 
07/07/1962  4      8.4    36     25 
08/07/1962  0      10.6   40     23 
09/07/1962  0      9.1    39     25 
10/07/1962  0      8.9    40     25 
11/07/1962  0      1.9    39.5   25 
12/07/1962  0      4.5    34     22.5 
13/07/1962  0      5      40.5   24 
14/07/1962  0      3.4    41     23 
15/07/1962  0      2.9    43     23.5 
16/07/1962  0      9.6    42     22 
17/07/1962  0      10.5   35     25 
18/07/1962  0      8      38     24 
19/07/1962  0      10.3   38     24 
20/07/1962  0      7.9    39     24 
21/07/1962  0      7.6    39     25 
22/07/1962  0      5.9    40.5   25.5 
23/07/1962  0      7.9    39     20.5 
24/07/1962  0      8.8    42     21 
